Radish,233,33.82,2,0
Passion Fruit,304,2.68,2,2
Bread Muffaletta,137,45.26,2,2
Chips Potato Reg 43g,413,13.46,2,2
Tandoori Curry Paste,588,1.6,2,2
Wine Qualitatswein,561,8.06,2,0
Sugar Sweetener,528,8.52,2,0
Jerusalem Artichoke,316,18.23,2,0
Apple,417,2.53,2,2
Mustard - Dijon,582,5.01,2,1
Fork - Plastic,232,3.1,2,0
Canadian Emmenthal,348,41.51,2,1
Daves Island Stinger,523,26.04,2,1
Mushroom - King Eryingii,472,9.13,2,1
Oven Mitt - 13 Inch,263,11.7,2,0
Appetizer,393,26.73,2,1
Ocean Strawberry,290,48.93,2,2
Lumpfish Black,582,30.51,2,2
Dried Cherries,283,48.29,2,0
Apricots - Halves,240,27.41,2,0
Beef - Iron Steak,323,46.66,2,2
Magnotta White,148,20.26,2,0
Pie Shell - 5,566,28.83,2,1
Beer - Heinekin,470,26.68,2,0
Artichokes - Knobless,297,3.12,2,2
Beets - Mini Golden,257,20.32,2,0
Beans - Black Bean,305,40.76,2,2
Garam Marsala,255,23.69,2,1
Cilantro / Coriander - Fresh,318,18.92,2,2
Campbells Beef Noodle,424,12.35,2,0
Wine - Alicanca ,274,28.2,2,0
Garlic Powder,480,39.37,2,0
Sauce - Fish 25 Ozf Bottle,175,48.24,2,0
Versatainer Nc - 8288,260,4.97,2,2
Chilli Paste,221,48.36,2,0
Canadian Emmenthal,510,20.93,2,1
Pie Filling - Cherry,415,17.49,2,0
Juice - Tomato,170,25.03,2,2
Wiberg Super Cure,140,10.84,2,0
Soy Protein,482,5.28,2,0
Bread - White,560,24.9,2,1
Napkin Colour,231,47.55,2,0
Cookie - Oreo,423,30.15,2,0
Jam - Raspberry,370,32.44,2,0
Dr. Pepper,402,24.47,2,2
Cheese - Brie,510,33.95,2,2
Hipnotiq Liquor,594,27.89,2,2
Island Oasis - Raspberry,556,17.84,2,0
Chives - Fresh,240,16.1,2,0
Tarragon - Primerba,235,8.97,2,0
Mushroom - Porcini Frozen,271,18.37,2,2
Beer - Fruli,546,25.0,2,0
Lychee - Canned,408,9.87,2,2
Calypso - Lemonade,505,23.06,2,1
Wine - Pinot Noir Latour,224,25.69,2,2
Wine - Vouvray Cuvee Domaine,249,7.27,2,1
Juice - Apple 284ml,256,40.55,2,1
Yogurt - Strawberry,368,27.66,2,0
Lamb - Whole,126,16.92,2,2
Tea - Herbal Orange Spice,453,4.99,2,0
Water - Spring,161,3.99,2,2
Gloves - Goldtouch,391,35.81,2,2
Celery Root,459,21.25,2,0
Breadfruit,256,9.33,2,1
Beer - Mill St Organic,403,23.21,2,2
Jam - Marmalade,513,3.04,2,0
Pasta - Lasagna,477,7.52,2,2
Tequila - Sauza Silver,257,3.06,2,1
Sugar - Individual Portions,184,9.86,2,0
Chicken Breast Halal,593,16.48,2,1
Carbonated Water - Raspberry,564,2.98,2,2
Fudge - Cream Fudge,376,43.69,2,1
Bagels Poppyseed,446,5.67,2,0
Pastry - Carrot Muffin - Mini,332,13.33,2,0
Container - Hngd Cll Blk 7x7x3,461,45.35,2,0
Flour - Strong Pizza,312,16.37,2,0
Wine - Masi Valpolocell,200,46.88,2,2
Yeast Dry - Fleischman,277,49.69,2,1
Wine - Saint Emilion Calvet,299,1.71,2,2
Soup - Chili Veg,283,41.15,2,1
Bread Fig,350,40.33,2,0
Cheese - Valancey,541,13.02,2,0
Olives - Kalamata,517,40.68,2,0
Grenadine,575,35.66,2,2
Broom - Angled,166,10.31,2,1
Fib N9 - Prague Powder,324,40.02,2,0
Pork - Back,492,31.05,2,2
Beef - Rouladin,262,34.66,2,1
Miso - Soy Bean Paste,440,24.67,2,1
Pail For Lid 1537,271,48.06,2,1
Lettuce - Greens,479,38.59,2,2
Cake - Bande Of Fruit,375,45.57,2,1
Fish - Scallops,250,11.57,2,1
Cream Of Potato,596,6.25,2,2
Cookie Dough - Double,562,41.18,2,2
Pasta - Penne Primavera,525,34.89,2,2
Cheese - Brie Roitelet,347,47.25,2,2
Bagel Presliced,220,40.14,2,2
Red Cod Fillets,418,27.97,2,2
At Midnight I'll Take Your Soul,730,21.21,1,2
Last Shot,656,27.86,1,2
Babylon,607,12.82,1,0
Sabotage,615,17.68,1,0
Beats,645,25.86,1,1
Summit,746,21.24,1,1
Down to the Bone,647,31.36,1,2
Deadly Companions,604,15.78,1,0
Aftermath,670,30.35,1,2
Horse's Mouth,621,27.56,1,0
Lady Vanishes,643,34.62,1,0
Blood River,742,24.8,1,2
Dirty Sanchez,732,25.62,1,1
Life Back Then,678,13.41,1,1
The Boogens,698,15.4,1,0
Diary of a Nymphomaniac,737,24.16,1,1
Princess and the Frog,620,26.91,1,2
Cinderella Man,722,29.61,1,0
About Nothing,618,19.05,1,0
Elena Undone,635,24.83,1,0
Mindwalk,616,16.26,1,1
Moment by Moment,728,27.04,1,1
Big Sky,633,24.84,1,2
Lady in Number 6,736,27.51,1,2
Dark House,604,31.28,1,1
Magic Camp,689,23.13,1,1
Ashes and Diamonds,663,14.88,1,0
Saga of Gosta Berling,646,33.06,1,2
Invisible Man Returns,681,29.85,1,1
Straight Time,713,23.95,1,0
Donovan's Brain,665,29.86,1,0
Enemy of the State,742,26.33,1,0
Rosie,636,11.16,1,2
Corsican File,694,9.78,1,1
And God Created Woman,710,16.5,1,1
Love In the Time of Money,719,30.04,1,0
Egyptian,633,29.0,1,1
Rosemary's Baby,745,9.6,1,1
Orphans of the Storm,709,30.28,1,0
One and Only,643,31.89,1,0
Aragami,631,25.46,1,0
Off Limits,713,12.94,1,0
Boogie,642,23.71,1,2
I Am Santa Claus,680,21.24,1,0
Great Gatsby,654,11.87,1,2
Hills Run Red,671,24.49,1,1
Devils on the Doorstep,601,12.35,1,0
Incognito,613,29.59,1,2
Cheec'h & Chong's The Corsican Brothers,704,31.31,1,1
Rock-afire Explosion,680,9.45,1,1
The Well,713,33.39,1,1
Youth of the Beast,680,26.69,1,2
Fast Life,629,20.81,1,2
Bone Collector,638,34.16,1,2
C.H.O.M.P.S.,712,9.11,1,0
Saint Ange (House of Voices),620,33.01,1,1
Strangler,732,29.17,1,2
World Is Not Enough,746,26.78,1,1
The Living Idol,606,25.94,1,0
Men in Black,733,17.92,1,0
Duo (Pas de deux),655,28.08,1,0
Claire of the Moon,733,20.52,1,1
Men of War,744,25.71,1,0
Spies Like Us,695,21.36,1,1
PAY 2 PLAY,736,27.57,1,1
Paralyzing Fear,683,25.76,1,0
The Last of the Finest,613,20.21,1,0
Next Three Days,706,28.55,1,0
White Sheik,703,25.39,1,0
Kingdom,644,12.12,1,2
Together Again,659,21.71,1,0
Elysium,654,9.07,1,2
Americano,628,32.42,1,1
Tartuffe,734,19.57,1,1
Triad Election,632,16.45,1,1
Headache Spasms,815,133.45,3,0
OXYGEN,838,83.9,3,0
Rodan and Fields,828,139.24,3,1
Cetirizine Hydro,830,62.64,3,1
Loris Povidone,837,15.39,3,0
Triaminic,779,76.41,3,1
Fluoxetine Hydro,795,73.13,3,0
Ruby-Cell,765,73.39,3,1
Fenofibrate,839,78.48,3,1
Privet,842,52.79,3,0
Wal-Zyr,834,122.23,3,2
Ibuprofen,766,75.73,3,2
Valsartan,819,106.94,3,2
Old Spice,824,112.42,3,1
Triamterene,833,114.74,3,0
ZONISAMIDE,781,38.99,3,2
Headache - Migraine,810,57.5,3,2
Kidkare,803,35.62,3,2
Levetiracetam,783,139.92,3,1
Pollens,807,81.7,3,1
DR DENTAL CARE,786,56.29,3,2
Metronidazole,834,102.77,3,1
Up and up miconazole 7,777,110.24,3,2
Ziprasidone,798,95.45,3,2
BENZTROPINE,816,92.21,3,0
Metaxalone,810,19.56,3,1
Hydroxyzine,800,112.5,3,0
GOODSENSE,758,41.47,3,0
Oxymorphone,830,141.28,3,2
Handwash,842,21.73,3,2
HA,803,85.93,3,0
Fexofenadine,778,45.36,3,2
Potassium,830,9.07,3,2
Acetaminophen,810,20.08,3,2
Candida I,823,112.85,3,0
Norinyl,791,91.42,3,2
Food Additives,787,42.09,3,2
Ampicillin,838,78.94,3,1
Carimune,771,146.73,3,1
MEDICAL AIR,832,59.37,3,2
Sodium,832,143.14,3,1
FANAPT,814,35.31,3,2
Benztropine,831,106.83,3,1
Morphine Sulfate,751,124.14,3,0
Triamterene,807,97.1,3,0
Rx pain relief,752,65.17,3,0
Ciprofloxacin,806,132.14,3,2
Phentermin,831,69.36,3,1
Lidocaine,801,69.53,3,0
Mary Kay Tinted,830,60.84,3,0
Divalproex,806,142.22,3,2
Members Allergy,768,53.16,3,2
METOCLOPRAMIDE,812,71.33,3,2
Hydrochloride,844,26.79,3,1
Quetiapine,782,117.14,3,1
PROPRANOLOL,759,134.78,3,2
Balsalazide Disodium,815,84.61,3,0
Reboost,761,122.2,3,2
Penicillin V,753,53.82,3,0
Topical,757,120.92,3,2
Glycopyrrolate,752,63.75,3,0
Carvedilol,783,74.69,3,1
Enalapril,836,37.77,3,0
Crestor,845,116.53,3,2
Mirapex,775,90.7,3,0
Chinese Elm,817,90.18,3,0
Joint Complex,812,143.24,3,1
Amlodipine,848,115.11,3,0
Simvastatin,836,139.55,3,1
Methylprednisolone,812,9.03,3,0
Diazepam,788,9.42,3,2
Stanback,829,69.76,3,1
Cranberry,769,45.3,3,2
Dinner Jacket,805,87.56,4,0
Mandarin Shirts,801,127.8,4,1
Cheerleader Outfit,786,117.38,4,2
Nightgown,813,60.34,4,0
Hoody,811,155.28,4,2
Football Jersey,810,132.41,4,1
Bikini,757,42.69,4,2
Business Suit,770,156.17,4,1
Wet Suit,774,70.62,4,2
Pointe,817,69.37,4,1
Slippers,798,38.5,4,2
Shtreimel,776,30.62,4,0
Hawaiian Shirt,774,158.92,4,2
Hazmat Suit,758,153.38,4,1
Palazzo Pants,807,78.38,4,0
Poncho,800,74.56,4,2
Hanbok,779,63.93,4,2
Letter Jacket,787,70.95,4,0
Bermuda Shorts,761,63.56,4,0
Top,783,43.85,4,2
Robe,809,69.85,4,0
Flannel Shirt,794,159.43,4,1
Poncho,759,155.6,4,0
Yoga Pants,788,162.27,4,2
Baseball Jersey,816,140.34,4,1
Referee Uniform,819,113.39,4,1
Leather Jacket,752,179.04,4,2
Belt,787,36.0,4,1
Suit,812,130.34,4,2
Dress,782,119.88,4,0
Amazon Thermostat,884,264.36,0,1
Air Fryer Toaster Oven,825,248.85,0,0
IRobot Roomba i7,940,403.73,0,0
Traeger Grills,893,418.39,0,1
Atomi Coffee Maker,880,142.12,0,1
Garmin Instinct Solar,892,92.83,0,0
Fellow Stagg Kettle,853,295.21,0,0
Samsung Galaxy SmartTag,879,113.33,0,2
Ember Temperature Control,995,139.04,0,0
Tovala Smart Oven,874,273.99,0,0
